InvoiceNo,InvoiceDate,StockCode,Description,Cost_Price,UnitPrice,Profit,Quantity,CustomerID,Country
602525,2023-02-20,906,Body Wash,120,150,30,1,00001,India
602525,2023-02-20,917,Plunger,120,150,30,1,00001,India
602525,2023-02-20,918,Tissues,60,80,20,1,00001,India
602525,2023-02-20,916,Air Freshener,80,100,20,1,00001,India
602525,2023-02-20,914,Trash Can,100,120,20,1,00001,India
959533,2023-02-20,905,Conditioner,150,200,50,1,00002,India
959533,2023-02-20,920,Shaving Cream,100,120,20,1,00002,India
959533,2023-02-20,914,Trash Can,100,120,20,1,00002,India
826900,2023-02-20,911,Shower Curtain,200,250,50,1,00003,India
826900,2023-02-20,909,Colgate Mouthwash,70,120,50,1,00003,India
997682,2023-02-20,903,Hand Towels,100,120,20,1,00004,India
997682,2023-02-20,920,Shaving Cream,100,120,20,1,00004,India
997682,2023-02-20,904,Shampoo,150,200,50,1,00004,India
413907,2023-02-20,901,Toilet Paper,50,70,20,1,00005,India
413907,2023-02-20,903,Hand Towels,100,120,20,1,00005,India
994807,2023-02-20,903,Hand Towels,100,120,20,1,00006,India
934605,2023-02-20,917,Plunger,120,150,30,1,00007,India
934605,2023-02-20,903,Hand Towels,100,120,20,1,00007,India
464718,2023-02-20,908,Colgate Toothbrush,30,40,10,1,00008,India
464718,2023-02-20,905,Conditioner,150,200,50,1,00008,India
464718,2023-02-20,913,Toilet Brush,80,100,20,1,00008,India
398803,2023-02-20,908,Colgate Toothbrush,30,40,10,1,00009,India
398803,2023-02-20,906,Body Wash,120,150,30,1,00009,India
398803,2023-02-20,904,Shampoo,150,200,50,1,00009,India
398803,2023-02-20,915,Mirror Cleaner,50,70,20,1,00009,India
251865,2023-02-20,914,Trash Can,100,120,20,1,00010,India
251865,2023-02-20,916,Air Freshener,80,100,20,1,00010,India
251865,2023-02-20,901,Toilet Paper,50,70,20,1,00010,India
308351,2023-02-20,907,Colgate Toothpaste,25,70,45,1,00011,India
308351,2023-02-20,916,Air Freshener,80,100,20,1,00011,India
308351,2023-02-20,919,Cotton Swabs,40,50,10,1,00011,India
308351,2023-02-20,915,Mirror Cleaner,50,70,20,1,00011,India
308351,2023-02-20,906,Body Wash,120,150,30,1,00011,India
266869,2023-02-20,920,Shaving Cream,100,120,20,1,00012,India
474331,2023-02-20,901,Toilet Paper,50,70,20,1,00013,India
474331,2023-02-20,916,Air Freshener,80,100,20,1,00013,India
426027,2023-02-20,913,Toilet Brush,80,100,20,1,00014,India
426027,2023-02-20,919,Cotton Swabs,40,50,10,1,00014,India
553253,2023-02-20,907,Colgate Toothpaste,25,70,45,1,00015,India
553253,2023-02-20,909,Colgate Mouthwash,70,120,50,1,00015,India
553253,2023-02-20,904,Shampoo,150,200,50,1,00015,India
