InvoiceNo,InvoiceDate,StockCode,Description,Cost_Price,UnitPrice,Profit,Quantity,CustomerID,Country
622157,2023-02-20,1008,Makeup Remover,80,160,80,1,00001,India
622157,2023-02-20,1005,Nail Polish,50,100,50,1,00001,India
186701,2023-02-20,1008,Makeup Remover,80,160,80,1,00002,India
186701,2023-02-20,1004,Eyeliner,100,200,100,1,00002,India
614044,2023-02-20,1009,Moisturizer,250,500,250,2,00003,India
614044,2023-02-20,1003,Foundation,300,600,300,1,00003,India
991613,2023-02-20,1012,Body Lotion,200,400,200,2,00004,India
241506,2023-02-20,1004,Eyeliner,100,200,100,1,00005,India
241506,2023-02-20,1012,Body Lotion,200,400,200,2,00005,India
241506,2023-02-20,1001,Lipstick,150,300,150,1,00005,India
942837,2023-02-20,1012,Body Lotion,200,400,200,2,00006,India
250039,2023-02-20,1003,Foundation,300,600,300,1,00007,India
959705,2023-02-20,1004,Eyeliner,100,200,100,1,00008,India
959705,2023-02-20,1002,Mascara,200,400,200,1,00008,India
146366,2023-02-20,1007,Eyeshadow,200,400,200,1,00009,India
535694,2023-02-20,1004,Eyeliner,100,200,100,1,00010,India
554039,2023-02-20,1001,Lipstick,150,300,150,1,00011,India
554039,2023-02-20,1012,Body Lotion,200,400,200,2,00011,India
155299,2023-02-20,1002,Mascara,200,400,200,1,00012,India
155299,2023-02-20,1009,Moisturizer,250,500,250,2,00012,India
155299,2023-02-20,1012,Body Lotion,200,400,200,2,00012,India
172210,2023-02-20,1007,Eyeshadow,200,400,200,1,00013,India
172210,2023-02-20,1004,Eyeliner,100,200,100,1,00013,India
172210,2023-02-20,1006,Blush,150,300,150,1,00013,India
172210,2023-02-20,1012,Body Lotion,200,400,200,2,00013,India
178953,2023-02-20,1012,Body Lotion,200,400,200,2,00014,India
178953,2023-02-20,1008,Makeup Remover,80,160,80,1,00014,India
178953,2023-02-20,1009,Moisturizer,250,500,250,2,00014,India
525448,2023-02-20,1002,Mascara,200,400,200,1,00015,India
525448,2023-02-20,1004,Eyeliner,100,200,100,1,00015,India
525448,2023-02-20,1007,Eyeshadow,200,400,200,1,00015,India
147505,2023-02-20,1001,Lipstick,150,300,150,1,00016,India
147505,2023-02-20,1004,Eyeliner,100,200,100,1,00016,India
631084,2023-02-20,1007,Eyeshadow,200,400,200,1,00017,India
704936,2023-02-20,1009,Moisturizer,250,500,250,2,00018,India
704936,2023-02-20,1004,Eyeliner,100,200,100,1,00018,India
704936,2023-02-20,1001,Lipstick,150,300,150,1,00018,India
704936,2023-02-20,1007,Eyeshadow,200,400,200,1,00018,India
876332,2023-02-20,1003,Foundation,300,600,300,1,00019,India
876332,2023-02-20,1006,Blush,150,300,150,1,00019,India
876332,2023-02-20,1002,Mascara,200,400,200,1,00019,India
472004,2023-02-20,1002,Mascara,200,400,200,1,00020,India
472004,2023-02-20,1008,Makeup Remover,80,160,80,1,00020,India
472004,2023-02-20,1006,Blush,150,300,150,1,00020,India
297067,2023-02-20,1006,Blush,150,300,150,1,00021,India
297067,2023-02-20,1005,Nail Polish,50,100,50,1,00021,India
297067,2023-02-20,1009,Moisturizer,250,500,250,2,00021,India
