InvoiceNo,InvoiceDate,StockCode,Description,Cost_Price,UnitPrice,Profit,Quantity,CustomerID,Country
192562,2023-02-20,506,monitor,3249,8000,4751,1,00001,India
192562,2023-02-20,503,mixer,1349,3249,1900,1,00001,India
192562,2023-02-20,507,washing machine,6990,16490,9500,1,00001,India
945551,2023-02-20,507,washing machine,6990,16490,9500,1,00002,India
945551,2023-02-20,501,iphone 15,60000,80000,20000,1,00002,India
945551,2023-02-20,505,oven,18490,24000,5510,1,00002,India
640937,2023-02-20,503,mixer,1349,3249,1900,1,00003,India
640937,2023-02-20,501,iphone 15,60000,80000,20000,1,00003,India
640937,2023-02-20,505,oven,18490,24000,5510,1,00003,India
387168,2023-02-20,505,oven,18490,24000,5510,1,00004,India
387168,2023-02-20,504,iron,449,879,430,1,00004,India
387168,2023-02-20,501,iphone 15,60000,80000,20000,1,00004,India
820195,2023-02-20,501,iphone 15,60000,80000,20000,1,00005,India
820195,2023-02-20,507,washing machine,6990,16490,9500,1,00005,India
820195,2023-02-20,504,iron,449,879,430,1,00005,India
596665,2023-02-20,505,oven,18490,24000,5510,1,00006,India
718791,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00007,India
829399,2023-02-20,503,mixer,1349,3249,1900,1,00008,India
160371,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00009,India
160371,2023-02-20,507,washing machine,6990,16490,9500,1,00009,India
160371,2023-02-20,503,mixer,1349,3249,1900,1,00009,India
900512,2023-02-20,501,iphone 15,60000,80000,20000,1,00010,India
900512,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00010,India
900512,2023-02-20,503,mixer,1349,3249,1900,1,00010,India
243467,2023-02-20,504,iron,449,879,430,1,00011,India
243467,2023-02-20,507,washing machine,6990,16490,9500,1,00011,India
243467,2023-02-20,501,iphone 15,60000,80000,20000,1,00011,India
456366,2023-02-20,505,oven,18490,24000,5510,1,00012,India
456366,2023-02-20,501,iphone 15,60000,80000,20000,1,00012,India
456366,2023-02-20,503,mixer,1349,3249,1900,1,00012,India
456366,2023-02-20,507,washing machine,6990,16490,9500,1,00012,India
607468,2023-02-20,505,oven,18490,24000,5510,1,00013,India
607468,2023-02-20,504,iron,449,879,430,1,00013,India
607468,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00013,India
444209,2023-02-20,506,monitor,3249,8000,4751,1,00014,India
444209,2023-02-20,507,washing machine,6990,16490,9500,1,00014,India
444209,2023-02-20,504,iron,449,879,430,1,00014,India
444209,2023-02-20,501,iphone 15,60000,80000,20000,1,00014,India
244652,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00015,India
244652,2023-02-20,505,oven,18490,24000,5510,1,00015,India
758854,2023-02-20,507,washing machine,6990,16490,9500,1,00016,India
321976,2023-02-20,503,mixer,1349,3249,1900,1,00017,India
321976,2023-02-20,507,washing machine,6990,16490,9500,1,00017,India
464401,2023-02-20,503,mixer,1349,3249,1900,1,00018,India
464401,2023-02-20,506,monitor,3249,8000,4751,1,00018,India
481943,2023-02-20,506,monitor,3249,8000,4751,1,00019,India
481943,2023-02-20,501,iphone 15,60000,80000,20000,1,00019,India
355406,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00020,India
674087,2023-02-20,507,washing machine,6990,16490,9500,1,00021,India
674087,2023-02-20,506,monitor,3249,8000,4751,1,00021,India
674087,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00021,India
674087,2023-02-20,505,oven,18490,24000,5510,1,00021,India
200933,2023-02-20,501,iphone 15,60000,80000,20000,1,00022,India
200933,2023-02-20,504,iron,449,879,430,1,00022,India
200933,2023-02-20,506,monitor,3249,8000,4751,1,00022,India
218421,2023-02-20,506,monitor,3249,8000,4751,1,00023,India
218421,2023-02-20,505,oven,18490,24000,5510,1,00023,India
218421,2023-02-20,504,iron,449,879,430,1,00023,India
588635,2023-02-20,505,oven,18490,24000,5510,1,00024,India
588635,2023-02-20,501,iphone 15,60000,80000,20000,1,00024,India
588635,2023-02-20,507,washing machine,6990,16490,9500,1,00024,India
895098,2023-02-20,501,iphone 15,60000,80000,20000,1,00025,India
115682,2023-02-20,503,mixer,1349,3249,1900,1,00026,India
115682,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00026,India
115682,2023-02-20,505,oven,18490,24000,5510,1,00026,India
115682,2023-02-20,507,washing machine,6990,16490,9500,1,00026,India
115682,2023-02-20,506,monitor,3249,8000,4751,1,00026,India
345075,2023-02-20,503,mixer,1349,3249,1900,1,00027,India
345075,2023-02-20,501,iphone 15,60000,80000,20000,1,00027,India
345075,2023-02-20,506,monitor,3249,8000,4751,1,00027,India
887193,2023-02-20,507,washing machine,6990,16490,9500,1,00028,India
887193,2023-02-20,501,iphone 15,60000,80000,20000,1,00028,India
887193,2023-02-20,502,iphone 15 pro max,100000,135000,35000,1,00028,India
483751,2023-02-20,505,oven,18490,24000,5510,1,00029,India
483751,2023-02-20,501,iphone 15,60000,80000,20000,1,00029,India
