InvoiceNo,InvoiceDate,StockCode,Description,Cost_Price,UnitPrice,Profit,Quantity,CustomerID,Country
975092,2023-02-20,401,couch,15000,25000,10000,1,00001,India
975092,2023-02-20,407,bedsheet,500,1000,500,1,00001,India
724424,2023-02-20,417,door knob,200,400,200,1,00002,India
724424,2023-02-20,401,couch,15000,25000,10000,1,00002,India
724424,2023-02-20,416,door,5000,10000,5000,1,00002,India
724424,2023-02-20,408,cupboard,5000,15000,10000,1,00002,India
724424,2023-02-20,415,yard chair,1500,3000,1500,1,00002,India
307245,2023-02-20,401,couch,15000,25000,10000,1,00003,India
307245,2023-02-20,402,lamp,500,750,250,1,00003,India
849498,2023-02-20,416,door,5000,10000,5000,1,00004,India
849498,2023-02-20,413,dining table,20000,40000,20000,1,00004,India
849498,2023-02-20,411,side table,1500,3000,1500,1,00004,India
957148,2023-02-20,418,tiles,50,100,50,1,00005,India
957148,2023-02-20,406,pillow,200,400,200,1,00005,India
957148,2023-02-20,404,queen bed,29000,45000,16000,1,00005,India
957148,2023-02-20,403,tube light,450,600,150,1,00005,India
957148,2023-02-20,402,lamp,500,750,250,1,00005,India
872401,2023-02-21,404,queen bed,29000,45000,16000,1,00006,India
872401,2023-02-21,408,cupboard,5000,15000,10000,1,00006,India
872401,2023-02-21,409,shelf,500,1000,500,1,00006,India
872401,2023-02-21,406,pillow,200,400,200,1,00006,India
872401,2023-02-21,419,paint,2000,4000,2000,1,00006,India
818376,2023-02-22,401,couch,15000,25000,10000,1,00007,India
386178,2023-02-22,419,paint,2000,4000,2000,1,00008,India
386178,2023-02-22,413,dining table,20000,40000,20000,1,00008,India
386178,2023-02-22,407,bedsheet,500,1000,500,1,00008,India
386178,2023-02-22,408,cupboard,5000,15000,10000,1,00008,India
845689,2023-02-22,411,side table,1500,3000,1500,1,00009,India
845689,2023-02-22,406,pillow,200,400,200,1,00009,India
845689,2023-02-22,413,dining table,20000,40000,20000,1,00009,India
845689,2023-02-22,414,chair,1000,2000,1000,1,00009,India
903525,2023-02-22,413,dining table,20000,40000,20000,1,00010,India
903525,2023-02-22,403,tube light,450,600,150,1,00010,India
388807,2023-02-23,414,chair,1000,2000,1000,1,00011,India
388807,2023-02-23,407,bedsheet,500,1000,500,1,00011,India
388807,2023-02-23,405,carpet,2000,4000,2000,1,00011,India
388807,2023-02-23,404,queen bed,29000,45000,16000,1,00011,India
