InvoiceNo,InvoiceDate,StockCode,Description,Cost_Price,UnitPrice,Profit,Quantity,CustomerID,Country
305335,2023-02-20,803,Sanitizer,50.0,100,50.0,1,00001,India
896301,2023-02-20,804,Adusol,30.0,60,30.0,1,00002,India
896301,2023-02-20,801,bandages,0.2,2,1.8,1,00002,India
896301,2023-02-20,809,Dettol,50.0,100,50.0,1,00002,India
896301,2023-02-20,808,Tampons,30.0,60,30.0,1,00002,India
896301,2023-02-20,802,Gauze Tape,10.0,20,10.0,1,00002,India
992396,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00003,India
245942,2023-02-20,812,Sanitary Pads,20.0,40,20.0,1,00004,India
245942,2023-02-20,802,Gauze Tape,10.0,20,10.0,1,00004,India
245942,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00004,India
872423,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00005,India
872423,2023-02-20,807,Condoms,30.0,89,59.0,2,00005,India
735724,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00006,India
735724,2023-02-20,804,Adusol,30.0,60,30.0,1,00006,India
762284,2023-02-20,811,Crosin,15.0,30,15.0,1,00007,India
762284,2023-02-20,807,Condoms,30.0,89,59.0,2,00007,India
696681,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00008,India
696681,2023-02-20,803,Sanitizer,50.0,100,50.0,1,00008,India
696681,2023-02-20,808,Tampons,30.0,60,30.0,1,00008,India
696681,2023-02-20,811,Crosin,15.0,30,15.0,1,00008,India
696681,2023-02-20,802,Gauze Tape,10.0,20,10.0,1,00008,India
201844,2023-02-20,812,Sanitary Pads,20.0,40,20.0,1,00009,India
201844,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00009,India
310587,2023-02-20,809,Dettol,50.0,100,50.0,1,00010,India
310587,2023-02-20,804,Adusol,30.0,60,30.0,1,00010,India
310587,2023-02-20,802,Gauze Tape,10.0,20,10.0,1,00010,India
310587,2023-02-20,811,Crosin,15.0,30,15.0,1,00010,India
327344,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00011,India
327344,2023-02-20,803,Sanitizer,50.0,100,50.0,1,00011,India
327344,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00011,India
327344,2023-02-20,812,Sanitary Pads,20.0,40,20.0,1,00011,India
712410,2023-02-20,811,Crosin,15.0,30,15.0,1,00012,India
712410,2023-02-20,804,Adusol,30.0,60,30.0,1,00012,India
712410,2023-02-20,807,Condoms,30.0,89,59.0,2,00012,India
839520,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00013,India
682004,2023-02-20,811,Crosin,15.0,30,15.0,1,00014,India
682004,2023-02-20,802,Gauze Tape,10.0,20,10.0,1,00014,India
631596,2023-02-20,811,Crosin,15.0,30,15.0,1,00015,India
541298,2023-02-20,809,Dettol,50.0,100,50.0,1,00016,India
541298,2023-02-20,801,bandages,0.2,2,1.8,1,00016,India
541298,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00016,India
676186,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00017,India
576398,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00018,India
656838,2023-02-20,808,Tampons,30.0,60,30.0,1,00019,India
324769,2023-02-20,801,bandages,0.2,2,1.8,1,00020,India
324769,2023-02-20,808,Tampons,30.0,60,30.0,1,00020,India
261483,2023-02-20,802,Gauze Tape,10.0,20,10.0,1,00021,India
505832,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00022,India
505832,2023-02-20,804,Adusol,30.0,60,30.0,1,00022,India
505832,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00022,India
505832,2023-02-20,809,Dettol,50.0,100,50.0,1,00022,India
623301,2023-02-20,806,First Aid Kit,200.0,400,200.0,1,00023,India
623301,2023-02-20,807,Condoms,30.0,89,59.0,2,00023,India
623301,2023-02-20,811,Crosin,15.0,30,15.0,1,00023,India
587220,2023-02-20,803,Sanitizer,50.0,100,50.0,1,00024,India
587220,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00024,India
852438,2023-02-20,812,Sanitary Pads,20.0,40,20.0,1,00025,India
852438,2023-02-20,803,Sanitizer,50.0,100,50.0,1,00025,India
852438,2023-02-20,802,Gauze Tape,10.0,20,10.0,1,00025,India
482535,2023-02-20,811,Crosin,15.0,30,15.0,1,00026,India
482535,2023-02-20,806,First Aid Kit,200.0,400,200.0,1,00026,India
394622,2023-02-20,809,Dettol,50.0,100,50.0,1,00027,India
529862,2023-02-20,808,Tampons,30.0,60,30.0,1,00028,India
865580,2023-02-20,807,Condoms,30.0,89,59.0,2,00029,India
865580,2023-02-20,801,bandages,0.2,2,1.8,1,00029,India
108838,2023-02-20,801,bandages,0.2,2,1.8,1,00030,India
108838,2023-02-20,802,Gauze Tape,10.0,20,10.0,1,00030,India
108838,2023-02-20,809,Dettol,50.0,100,50.0,1,00030,India
108838,2023-02-20,808,Tampons,30.0,60,30.0,1,00030,India
108838,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00030,India
266167,2023-02-20,810,Paracetamol,10.0,20,10.0,1,00031,India
461499,2023-02-20,812,Sanitary Pads,20.0,40,20.0,1,00032,India
461499,2023-02-20,804,Adusol,30.0,60,30.0,1,00032,India
461499,2023-02-20,805,Cough Syrup,20.0,40,20.0,1,00032,India
461499,2023-02-20,806,First Aid Kit,200.0,400,200.0,1,00032,India
461499,2023-02-20,811,Crosin,15.0,30,15.0,1,00032,India
818956,2023-02-21,808,Tampons,30.0,60,30.0,1,00033,India
853842,2023-02-21,801,bandages,0.2,2,1.8,1,00034,India
853842,2023-02-21,805,Cough Syrup,20.0,40,20.0,1,00034,India
416388,2023-02-21,806,First Aid Kit,200.0,400,200.0,1,00035,India
747882,2023-02-21,805,Cough Syrup,20.0,40,20.0,1,00036,India
827467,2023-02-21,806,First Aid Kit,200.0,400,200.0,1,00037,India
827467,2023-02-21,809,Dettol,50.0,100,50.0,1,00037,India
640119,2023-02-21,801,bandages,0.2,2,1.8,1,00038,India
750613,2023-02-21,805,Cough Syrup,20.0,40,20.0,1,00039,India
750613,2023-02-21,804,Adusol,30.0,60,30.0,1,00039,India
750613,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00039,India
750613,2023-02-21,811,Crosin,15.0,30,15.0,1,00039,India
750613,2023-02-21,808,Tampons,30.0,60,30.0,1,00039,India
408767,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00040,India
403564,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00041,India
403564,2023-02-21,812,Sanitary Pads,20.0,40,20.0,1,00041,India
403564,2023-02-21,807,Condoms,30.0,89,59.0,2,00041,India
360932,2023-02-21,811,Crosin,15.0,30,15.0,1,00042,India
360932,2023-02-21,808,Tampons,30.0,60,30.0,1,00042,India
874991,2023-02-21,805,Cough Syrup,20.0,40,20.0,1,00043,India
874991,2023-02-21,801,bandages,0.2,2,1.8,1,00043,India
874991,2023-02-21,802,Gauze Tape,10.0,20,10.0,1,00043,India
874991,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00043,India
720497,2023-02-21,812,Sanitary Pads,20.0,40,20.0,1,00044,India
720497,2023-02-21,807,Condoms,30.0,89,59.0,2,00044,India
720497,2023-02-21,802,Gauze Tape,10.0,20,10.0,1,00044,India
344422,2023-02-21,801,bandages,0.2,2,1.8,1,00045,India
344422,2023-02-21,805,Cough Syrup,20.0,40,20.0,1,00045,India
196917,2023-02-21,809,Dettol,50.0,100,50.0,1,00046,India
196917,2023-02-21,804,Adusol,30.0,60,30.0,1,00046,India
850503,2023-02-21,803,Sanitizer,50.0,100,50.0,1,00047,India
850503,2023-02-21,801,bandages,0.2,2,1.8,1,00047,India
850503,2023-02-21,802,Gauze Tape,10.0,20,10.0,1,00047,India
195207,2023-02-21,806,First Aid Kit,200.0,400,200.0,1,00048,India
195207,2023-02-21,808,Tampons,30.0,60,30.0,1,00048,India
195207,2023-02-21,803,Sanitizer,50.0,100,50.0,1,00048,India
195207,2023-02-21,801,bandages,0.2,2,1.8,1,00048,India
195207,2023-02-21,807,Condoms,30.0,89,59.0,2,00048,India
598638,2023-02-21,802,Gauze Tape,10.0,20,10.0,1,00049,India
598638,2023-02-21,805,Cough Syrup,20.0,40,20.0,1,00049,India
598638,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00049,India
993113,2023-02-21,809,Dettol,50.0,100,50.0,1,00050,India
993113,2023-02-21,807,Condoms,30.0,89,59.0,2,00050,India
993113,2023-02-21,803,Sanitizer,50.0,100,50.0,1,00050,India
231567,2023-02-21,812,Sanitary Pads,20.0,40,20.0,1,00051,India
231567,2023-02-21,808,Tampons,30.0,60,30.0,1,00051,India
231567,2023-02-21,801,bandages,0.2,2,1.8,1,00051,India
231567,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00051,India
231567,2023-02-21,811,Crosin,15.0,30,15.0,1,00051,India
420630,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00052,India
420630,2023-02-21,807,Condoms,30.0,89,59.0,2,00052,India
420630,2023-02-21,811,Crosin,15.0,30,15.0,1,00052,India
420630,2023-02-21,809,Dettol,50.0,100,50.0,1,00052,India
776692,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00053,India
776692,2023-02-21,804,Adusol,30.0,60,30.0,1,00053,India
266987,2023-02-21,805,Cough Syrup,20.0,40,20.0,1,00054,India
266987,2023-02-21,808,Tampons,30.0,60,30.0,1,00054,India
266987,2023-02-21,801,bandages,0.2,2,1.8,1,00054,India
266987,2023-02-21,812,Sanitary Pads,20.0,40,20.0,1,00054,India
201969,2023-02-21,806,First Aid Kit,200.0,400,200.0,1,00055,India
201969,2023-02-21,808,Tampons,30.0,60,30.0,1,00055,India
201969,2023-02-21,804,Adusol,30.0,60,30.0,1,00055,India
672298,2023-02-21,801,bandages,0.2,2,1.8,1,00056,India
672298,2023-02-21,802,Gauze Tape,10.0,20,10.0,1,00056,India
672298,2023-02-21,807,Condoms,30.0,89,59.0,2,00056,India
361900,2023-02-21,808,Tampons,30.0,60,30.0,1,00057,India
896918,2023-02-21,811,Crosin,15.0,30,15.0,1,00058,India
896918,2023-02-21,803,Sanitizer,50.0,100,50.0,1,00058,India
896918,2023-02-21,810,Paracetamol,10.0,20,10.0,1,00058,India
153998,2023-02-21,803,Sanitizer,50.0,100,50.0,1,00059,India
153998,2023-02-21,807,Condoms,30.0,89,59.0,2,00059,India
153998,2023-02-21,806,First Aid Kit,200.0,400,200.0,1,00059,India
153998,2023-02-21,802,Gauze Tape,10.0,20,10.0,1,00059,India
567468,2023-02-21,808,Tampons,30.0,60,30.0,1,00060,India
567468,2023-02-21,801,bandages,0.2,2,1.8,1,00060,India
798155,2023-02-21,807,Condoms,30.0,89,59.0,2,00061,India
798155,2023-02-21,812,Sanitary Pads,20.0,40,20.0,1,00061,India
