InvoiceNo,InvoiceDate,StockCode,Description,Cost_Price,UnitPrice,Profit,Quantity,CustomerID,Country
875469,2023-02-20,204,strawberry yogurt,50,60,10,1,00001,India
875469,2023-02-20,206,yakult,360,400,40,1,00001,India
875469,2023-02-20,208,sprite,75,100,25,1,00001,India
875469,2023-02-20,211,red bull,90,125,35,1,00001,India
388522,2023-02-20,201,paneer,210,340,130,1,00002,India
388522,2023-02-20,208,sprite,75,100,25,1,00002,India
388522,2023-02-20,212,amul cheese,250,315,65,1,00002,India
390543,2023-02-20,206,yakult,360,400,40,1,00003,India
390543,2023-02-20,204,strawberry yogurt,50,60,10,1,00003,India
390543,2023-02-20,202,milk,12,27,15,1,00003,India
220303,2023-02-20,205,classic yogurt,45,60,15,1,00004,India
220303,2023-02-20,210,mountain dew,75,100,25,1,00004,India
220303,2023-02-20,213,bisleri,6,15,9,1,00004,India
220303,2023-02-20,201,paneer,210,340,130,1,00004,India
220303,2023-02-20,209,pepsi,75,100,25,1,00004,India
929892,2023-02-20,202,milk,12,27,15,1,00005,India
349750,2023-02-20,209,pepsi,75,100,25,1,00006,India
349750,2023-02-20,201,paneer,210,340,130,1,00006,India
349750,2023-02-20,210,mountain dew,75,100,25,1,00006,India
511750,2023-02-20,204,strawberry yogurt,50,60,10,1,00007,India
511750,2023-02-20,202,milk,12,27,15,1,00007,India
511750,2023-02-20,212,amul cheese,250,315,65,1,00007,India
511750,2023-02-20,213,bisleri,6,15,9,1,00007,India
511750,2023-02-20,201,paneer,210,340,130,1,00007,India
742152,2023-02-20,206,yakult,360,400,40,1,00008,India
742152,2023-02-20,211,red bull,90,125,35,1,00008,India
742152,2023-02-20,202,milk,12,27,15,1,00008,India
834290,2023-02-20,204,strawberry yogurt,50,60,10,1,00009,India
834290,2023-02-20,209,pepsi,75,100,25,1,00009,India
469623,2023-02-20,207,coca cola,75,100,25,1,00010,India
469623,2023-02-20,206,yakult,360,400,40,1,00010,India
194471,2023-02-20,201,paneer,210,340,130,1,00011,India
194471,2023-02-20,206,yakult,360,400,40,1,00011,India
194471,2023-02-20,209,pepsi,75,100,25,1,00011,India
194471,2023-02-20,211,red bull,90,125,35,1,00011,India
194471,2023-02-20,207,coca cola,75,100,25,1,00011,India
364185,2023-02-20,204,strawberry yogurt,50,60,10,1,00012,India
364185,2023-02-20,211,red bull,90,125,35,1,00012,India
364185,2023-02-20,202,milk,12,27,15,1,00012,India
514269,2023-02-20,211,red bull,90,125,35,1,00013,India
514269,2023-02-20,209,pepsi,75,100,25,1,00013,India
514269,2023-02-20,202,milk,12,27,15,1,00013,India
803407,2023-02-20,201,paneer,210,340,130,1,00014,India
803407,2023-02-20,208,sprite,75,100,25,1,00014,India
803407,2023-02-20,203,mango yogurt,50,60,10,1,00014,India
803407,2023-02-20,209,pepsi,75,100,25,1,00014,India
803407,2023-02-20,212,amul cheese,250,315,65,1,00014,India
437403,2023-02-20,203,mango yogurt,50,60,10,1,00015,India
437403,2023-02-20,208,sprite,75,100,25,1,00015,India
437403,2023-02-20,206,yakult,360,400,40,1,00015,India
437403,2023-02-20,213,bisleri,6,15,9,1,00015,India
542215,2023-02-20,212,amul cheese,250,315,65,1,00016,India
542215,2023-02-20,209,pepsi,75,100,25,1,00016,India
542215,2023-02-20,210,mountain dew,75,100,25,1,00016,India
302457,2023-02-20,207,coca cola,75,100,25,1,00017,India
302457,2023-02-20,208,sprite,75,100,25,1,00017,India
302457,2023-02-20,204,strawberry yogurt,50,60,10,1,00017,India
302457,2023-02-20,201,paneer,210,340,130,1,00017,India
170679,2023-02-20,204,strawberry yogurt,50,60,10,1,00018,India
170679,2023-02-20,203,mango yogurt,50,60,10,1,00018,India
689718,2023-02-20,201,paneer,210,340,130,1,00019,India
689718,2023-02-20,204,strawberry yogurt,50,60,10,1,00019,India
689718,2023-02-20,213,bisleri,6,15,9,1,00019,India
689718,2023-02-20,205,classic yogurt,45,60,15,1,00019,India
873191,2023-02-20,203,mango yogurt,50,60,10,1,00020,India
164036,2023-02-20,209,pepsi,75,100,25,1,00021,India
164036,2023-02-20,212,amul cheese,250,315,65,1,00021,India
164036,2023-02-20,201,paneer,210,340,130,1,00021,India
164036,2023-02-20,208,sprite,75,100,25,1,00021,India
591602,2023-02-20,203,mango yogurt,50,60,10,1,00022,India
591602,2023-02-20,206,yakult,360,400,40,1,00022,India
591602,2023-02-20,204,strawberry yogurt,50,60,10,1,00022,India
591602,2023-02-20,202,milk,12,27,15,1,00022,India
804565,2023-02-20,209,pepsi,75,100,25,1,00023,India
804565,2023-02-20,206,yakult,360,400,40,1,00023,India
311119,2023-02-20,202,milk,12,27,15,1,00024,India
311119,2023-02-20,209,pepsi,75,100,25,1,00024,India
311119,2023-02-20,210,mountain dew,75,100,25,1,00024,India
311119,2023-02-20,212,amul cheese,250,315,65,1,00024,India
146664,2023-02-20,212,amul cheese,250,315,65,1,00025,India
146664,2023-02-20,210,mountain dew,75,100,25,1,00025,India
146664,2023-02-20,203,mango yogurt,50,60,10,1,00025,India
146664,2023-02-20,211,red bull,90,125,35,1,00025,India
509357,2023-02-20,209,pepsi,75,100,25,1,00026,India
509357,2023-02-20,212,amul cheese,250,315,65,1,00026,India
509357,2023-02-20,207,coca cola,75,100,25,1,00026,India
509357,2023-02-20,213,bisleri,6,15,9,1,00026,India
316355,2023-02-20,205,classic yogurt,45,60,15,1,00027,India
429609,2023-02-20,209,pepsi,75,100,25,1,00028,India
380467,2023-02-20,211,red bull,90,125,35,1,00029,India
380467,2023-02-20,208,sprite,75,100,25,1,00029,India
380467,2023-02-20,206,yakult,360,400,40,1,00029,India
713086,2023-02-20,209,pepsi,75,100,25,1,00030,India
713086,2023-02-20,207,coca cola,75,100,25,1,00030,India
132564,2023-02-20,211,red bull,90,125,35,1,00031,India
132564,2023-02-20,201,paneer,210,340,130,1,00031,India
714699,2023-02-20,201,paneer,210,340,130,1,00032,India
714699,2023-02-20,209,pepsi,75,100,25,1,00032,India
275627,2023-02-20,205,classic yogurt,45,60,15,1,00033,India
275627,2023-02-20,202,milk,12,27,15,1,00033,India
275627,2023-02-20,209,pepsi,75,100,25,1,00033,India
666888,2023-02-20,206,yakult,360,400,40,1,00034,India
265435,2023-02-20,212,amul cheese,250,315,65,1,00035,India
265435,2023-02-20,209,pepsi,75,100,25,1,00035,India
440344,2023-02-20,207,coca cola,75,100,25,1,00036,India
440344,2023-02-20,208,sprite,75,100,25,1,00036,India
534668,2023-02-20,206,yakult,360,400,40,1,00037,India
534668,2023-02-20,207,coca cola,75,100,25,1,00037,India
534668,2023-02-20,204,strawberry yogurt,50,60,10,1,00037,India
534668,2023-02-20,213,bisleri,6,15,9,1,00037,India
768747,2023-02-20,212,amul cheese,250,315,65,1,00038,India
768747,2023-02-20,201,paneer,210,340,130,1,00038,India
768747,2023-02-20,209,pepsi,75,100,25,1,00038,India
898945,2023-02-20,210,mountain dew,75,100,25,1,00039,India
898945,2023-02-20,203,mango yogurt,50,60,10,1,00039,India
898945,2023-02-20,202,milk,12,27,15,1,00039,India
540500,2023-02-20,202,milk,12,27,15,1,00040,India
121694,2023-02-20,208,sprite,75,100,25,1,00041,India
121694,2023-02-20,202,milk,12,27,15,1,00041,India
121694,2023-02-20,203,mango yogurt,50,60,10,1,00041,India
121694,2023-02-20,206,yakult,360,400,40,1,00041,India
431308,2023-02-20,212,amul cheese,250,315,65,1,00042,India
792710,2023-02-20,201,paneer,210,340,130,1,00043,India
792710,2023-02-20,213,bisleri,6,15,9,1,00043,India
792710,2023-02-20,210,mountain dew,75,100,25,1,00043,India
792710,2023-02-20,202,milk,12,27,15,1,00043,India
255374,2023-02-20,210,mountain dew,75,100,25,1,00044,India
255374,2023-02-20,209,pepsi,75,100,25,1,00044,India
255374,2023-02-20,208,sprite,75,100,25,1,00044,India
255374,2023-02-20,207,coca cola,75,100,25,1,00044,India
837475,2023-02-20,206,yakult,360,400,40,1,00045,India
837475,2023-02-20,205,classic yogurt,45,60,15,1,00045,India
837475,2023-02-20,207,coca cola,75,100,25,1,00045,India
837475,2023-02-20,210,mountain dew,75,100,25,1,00045,India
672692,2023-02-20,210,mountain dew,75,100,25,1,00046,India
672692,2023-02-20,207,coca cola,75,100,25,1,00046,India
672692,2023-02-20,208,sprite,75,100,25,1,00046,India
594663,2023-02-20,206,yakult,360,400,40,1,00047,India
594663,2023-02-20,207,coca cola,75,100,25,1,00047,India
594663,2023-02-20,201,paneer,210,340,130,1,00047,India
198837,2023-02-20,203,mango yogurt,50,60,10,1,00048,India
198837,2023-02-20,202,milk,12,27,15,1,00048,India
198837,2023-02-20,204,strawberry yogurt,50,60,10,1,00048,India
198837,2023-02-20,208,sprite,75,100,25,1,00048,India
572767,2023-02-20,202,milk,12,27,15,1,00049,India
572767,2023-02-20,203,mango yogurt,50,60,10,1,00049,India
572767,2023-02-20,210,mountain dew,75,100,25,1,00049,India
572767,2023-02-20,205,classic yogurt,45,60,15,1,00049,India
597960,2023-02-20,212,amul cheese,250,315,65,1,00050,India
597960,2023-02-20,209,pepsi,75,100,25,1,00050,India
597960,2023-02-20,201,paneer,210,340,130,1,00050,India
597960,2023-02-20,207,coca cola,75,100,25,1,00050,India
113906,2023-02-20,205,classic yogurt,45,60,15,1,00051,India
113906,2023-02-20,206,yakult,360,400,40,1,00051,India
113906,2023-02-20,201,paneer,210,340,130,1,00051,India
113906,2023-02-20,213,bisleri,6,15,9,1,00051,India
113906,2023-02-20,212,amul cheese,250,315,65,1,00051,India
121727,2023-02-20,203,mango yogurt,50,60,10,1,00052,India
331656,2023-02-20,201,paneer,210,340,130,1,00053,India
331656,2023-02-20,206,yakult,360,400,40,1,00053,India
746428,2023-02-20,201,paneer,210,340,130,1,00054,India
825512,2023-02-20,210,mountain dew,75,100,25,1,00055,India
825512,2023-02-20,203,mango yogurt,50,60,10,1,00055,India
743964,2023-02-20,212,amul cheese,250,315,65,1,00056,India
743964,2023-02-20,202,milk,12,27,15,1,00056,India
743964,2023-02-20,204,strawberry yogurt,50,60,10,1,00056,India
911970,2023-02-20,203,mango yogurt,50,60,10,1,00057,India
372358,2023-02-20,209,pepsi,75,100,25,1,00058,India
372358,2023-02-20,210,mountain dew,75,100,25,1,00058,India
372358,2023-02-20,206,yakult,360,400,40,1,00058,India
372358,2023-02-20,204,strawberry yogurt,50,60,10,1,00058,India
647836,2023-02-20,210,mountain dew,75,100,25,1,00059,India
647836,2023-02-20,212,amul cheese,250,315,65,1,00059,India
647836,2023-02-20,204,strawberry yogurt,50,60,10,1,00059,India
647836,2023-02-20,205,classic yogurt,45,60,15,1,00059,India
647836,2023-02-20,211,red bull,90,125,35,1,00059,India
252053,2023-02-20,210,mountain dew,75,100,25,1,00060,India
478638,2023-02-20,202,milk,12,27,15,1,00061,India
478638,2023-02-20,208,sprite,75,100,25,1,00061,India
478638,2023-02-20,209,pepsi,75,100,25,1,00061,India
149795,2023-02-20,208,sprite,75,100,25,1,00062,India
832229,2023-02-20,210,mountain dew,75,100,25,1,00063,India
518301,2023-02-20,210,mountain dew,75,100,25,1,00064,India
518301,2023-02-20,208,sprite,75,100,25,1,00064,India
518301,2023-02-20,202,milk,12,27,15,1,00064,India
518301,2023-02-20,206,yakult,360,400,40,1,00064,India
495178,2023-02-20,203,mango yogurt,50,60,10,1,00065,India
495178,2023-02-20,212,amul cheese,250,315,65,1,00065,India
495178,2023-02-20,210,mountain dew,75,100,25,1,00065,India
493361,2023-02-20,205,classic yogurt,45,60,15,1,00066,India
534529,2023-02-20,204,strawberry yogurt,50,60,10,1,00067,India
534529,2023-02-20,201,paneer,210,340,130,1,00067,India
534529,2023-02-20,206,yakult,360,400,40,1,00067,India
534529,2023-02-20,212,amul cheese,250,315,65,1,00067,India
149148,2023-02-20,209,pepsi,75,100,25,1,00068,India
849154,2023-02-20,208,sprite,75,100,25,1,00069,India
552519,2023-02-20,210,mountain dew,75,100,25,1,00070,India
663914,2023-02-20,203,mango yogurt,50,60,10,1,00071,India
663914,2023-02-20,201,paneer,210,340,130,1,00071,India
663914,2023-02-20,209,pepsi,75,100,25,1,00071,India
882147,2023-02-20,208,sprite,75,100,25,1,00072,India
583517,2023-02-20,202,milk,12,27,15,1,00073,India
689344,2023-02-20,206,yakult,360,400,40,1,00074,India
689344,2023-02-20,210,mountain dew,75,100,25,1,00074,India
689344,2023-02-20,203,mango yogurt,50,60,10,1,00074,India
161374,2023-02-20,206,yakult,360,400,40,1,00075,India
161374,2023-02-20,208,sprite,75,100,25,1,00075,India
122611,2023-02-20,213,bisleri,6,15,9,1,00076,India
122611,2023-02-20,208,sprite,75,100,25,1,00076,India
122611,2023-02-20,201,paneer,210,340,130,1,00076,India
122611,2023-02-20,211,red bull,90,125,35,1,00076,India
122611,2023-02-20,206,yakult,360,400,40,1,00076,India
182962,2023-02-21,208,sprite,75,100,25,1,00077,India
182962,2023-02-21,213,bisleri,6,15,9,1,00077,India
