InvoiceNo,InvoiceDate,StockCode,Description,Cost_Price,UnitPrice,Profit,Quantity,CustomerID,Country
911033,2023-02-20,608,football,298,1099,801,1,00001,India
911033,2023-02-20,606,badminton rackets,180,499,319,1,00001,India
911033,2023-02-20,603,tennis ball,25,60,35,1,00001,India
266961,2023-02-20,603,tennis ball,25,60,35,1,00002,India
266961,2023-02-20,602,cricket ball,125,260,135,1,00002,India
519401,2023-02-20,611,helmet,200,400,200,1,00003,India
501247,2023-02-20,607,table tennis table,20000,26500,6500,1,00004,India
501247,2023-02-20,609,basketball,298,679,381,1,00004,India
501247,2023-02-20,602,cricket ball,125,260,135,1,00004,India
957480,2023-02-20,601,cricket bat,400,1500,1100,1,00005,India
957480,2023-02-20,611,helmet,200,400,200,1,00005,India
395219,2023-02-20,608,football,298,1099,801,1,00006,India
395219,2023-02-20,611,helmet,200,400,200,1,00006,India
980866,2023-02-20,611,helmet,200,400,200,1,00007,India
980866,2023-02-20,603,tennis ball,25,60,35,1,00007,India
963146,2023-02-20,604,tennis racket,1200,1800,600,1,00008,India
963146,2023-02-20,605,badminton shuttlecocks,180,300,120,1,00008,India
963146,2023-02-20,611,helmet,200,400,200,1,00008,India
102119,2023-02-20,603,tennis ball,25,60,35,1,00009,India
102119,2023-02-20,609,basketball,298,679,381,1,00009,India
102119,2023-02-20,601,cricket bat,400,1500,1100,1,00009,India
300994,2023-02-20,601,cricket bat,400,1500,1100,1,00010,India
300994,2023-02-20,602,cricket ball,125,260,135,1,00010,India
300994,2023-02-20,609,basketball,298,679,381,1,00010,India
300994,2023-02-20,604,tennis racket,1200,1800,600,1,00010,India
247912,2023-02-21,604,tennis racket,1200,1800,600,1,00011,India
112776,2023-02-21,611,helmet,200,400,200,1,00012,India
112776,2023-02-21,602,cricket ball,125,260,135,1,00012,India
464640,2023-02-21,603,tennis ball,25,60,35,1,00013,India
464640,2023-02-21,606,badminton rackets,180,499,319,1,00013,India
464640,2023-02-21,604,tennis racket,1200,1800,600,1,00013,India
464640,2023-02-21,611,helmet,200,400,200,1,00013,India
458248,2023-02-21,610,golf clubs,27000,42000,15000,1,00014,India
458248,2023-02-21,601,cricket bat,400,1500,1100,1,00014,India
458248,2023-02-21,605,badminton shuttlecocks,180,300,120,1,00014,India
165570,2023-02-22,605,badminton shuttlecocks,180,300,120,1,00015,India
165570,2023-02-22,608,football,298,1099,801,1,00015,India
656802,2023-02-22,603,tennis ball,25,60,35,1,00016,India
656802,2023-02-22,607,table tennis table,20000,26500,6500,1,00016,India
656802,2023-02-22,609,basketball,298,679,381,1,00016,India
314355,2023-02-22,609,basketball,298,679,381,1,00017,India
431526,2023-02-22,601,cricket bat,400,1500,1100,1,00018,India
431526,2023-02-22,603,tennis ball,25,60,35,1,00018,India
586352,2023-02-22,609,basketball,298,679,381,1,00019,India
586352,2023-02-22,608,football,298,1099,801,1,00019,India
586352,2023-02-22,602,cricket ball,125,260,135,1,00019,India
586352,2023-02-22,603,tennis ball,25,60,35,1,00019,India
586352,2023-02-22,606,badminton rackets,180,499,319,1,00019,India
133662,2023-02-22,605,badminton shuttlecocks,180,300,120,1,00020,India
133662,2023-02-22,604,tennis racket,1200,1800,600,1,00020,India
133662,2023-02-22,601,cricket bat,400,1500,1100,1,00020,India
133662,2023-02-22,609,basketball,298,679,381,1,00020,India
774669,2023-02-22,608,football,298,1099,801,1,00021,India
774669,2023-02-22,605,badminton shuttlecocks,180,300,120,1,00021,India
774669,2023-02-22,611,helmet,200,400,200,1,00021,India
774669,2023-02-22,603,tennis ball,25,60,35,1,00021,India
774669,2023-02-22,601,cricket bat,400,1500,1100,1,00021,India
598907,2023-02-23,608,football,298,1099,801,1,00022,India
598907,2023-02-23,606,badminton rackets,180,499,319,1,00022,India
598907,2023-02-23,602,cricket ball,125,260,135,1,00022,India
598907,2023-02-23,607,table tennis table,20000,26500,6500,1,00022,India
236735,2023-02-23,609,basketball,298,679,381,1,00023,India
159239,2023-02-23,601,cricket bat,400,1500,1100,1,00024,India
159239,2023-02-23,607,table tennis table,20000,26500,6500,1,00024,India
321128,2023-02-23,604,tennis racket,1200,1800,600,1,00025,India
321128,2023-02-23,602,cricket ball,125,260,135,1,00025,India
321128,2023-02-23,608,football,298,1099,801,1,00025,India
321128,2023-02-23,601,cricket bat,400,1500,1100,1,00025,India
321128,2023-02-23,606,badminton rackets,180,499,319,1,00025,India
802308,2023-02-23,606,badminton rackets,180,499,319,1,00026,India
802308,2023-02-23,605,badminton shuttlecocks,180,300,120,1,00026,India
558468,2023-02-24,610,golf clubs,27000,42000,15000,1,00027,India
558468,2023-02-24,603,tennis ball,25,60,35,1,00027,India
558468,2023-02-24,609,basketball,298,679,381,1,00027,India
558468,2023-02-24,602,cricket ball,125,260,135,1,00027,India
558468,2023-02-24,608,football,298,1099,801,1,00027,India
385587,2023-02-24,606,badminton rackets,180,499,319,1,00028,India
385587,2023-02-24,602,cricket ball,125,260,135,1,00028,India
385587,2023-02-24,609,basketball,298,679,381,1,00028,India
385587,2023-02-24,605,badminton shuttlecocks,180,300,120,1,00028,India
385587,2023-02-24,608,football,298,1099,801,1,00028,India
761523,2023-02-24,607,table tennis table,20000,26500,6500,1,00029,India
953445,2023-02-24,609,basketball,298,679,381,1,00030,India
953445,2023-02-24,605,badminton shuttlecocks,180,300,120,1,00030,India
953445,2023-02-24,610,golf clubs,27000,42000,15000,1,00030,India
138983,2023-02-24,602,cricket ball,125,260,135,1,00031,India
138983,2023-02-24,610,golf clubs,27000,42000,15000,1,00031,India
138983,2023-02-24,604,tennis racket,1200,1800,600,1,00031,India
206155,2023-02-24,609,basketball,298,679,381,1,00032,India
603905,2023-02-24,608,football,298,1099,801,1,00033,India
603905,2023-02-24,606,badminton rackets,180,499,319,1,00033,India
603905,2023-02-24,609,basketball,298,679,381,1,00033,India
679127,2023-02-25,605,badminton shuttlecocks,180,300,120,1,00034,India
679127,2023-02-25,604,tennis racket,1200,1800,600,1,00034,India
679127,2023-02-25,602,cricket ball,125,260,135,1,00034,India
679127,2023-02-25,611,helmet,200,400,200,1,00034,India
861000,2023-02-25,606,badminton rackets,180,499,319,1,00035,India
861000,2023-02-25,603,tennis ball,25,60,35,1,00035,India
906533,2023-02-25,606,badminton rackets,180,499,319,1,00036,India
906533,2023-02-25,603,tennis ball,25,60,35,1,00036,India
