InvoiceNo,InvoiceDate,StockCode,Description,Cost_Price,UnitPrice,Profit,Quantity,CustomerID,Country
841030,2023-02-20,712,graph paper,20,40,20,1,00001,India
572543,2023-02-20,702,pencil,2,5,3,1,00002,India
572543,2023-02-20,706,sharpener,3,8,5,1,00002,India
572543,2023-02-20,713,ball pen,5,10,5,1,00002,India
206864,2023-02-20,703,eraser,1,3,2,1,00003,India
206864,2023-02-20,713,ball pen,5,10,5,1,00003,India
206864,2023-02-20,702,pencil,2,5,3,1,00003,India
206864,2023-02-20,715,folder,5,15,10,1,00003,India
810028,2023-02-20,706,sharpener,3,8,5,1,00004,India
810028,2023-02-20,710,geometry box,100,150,50,1,00004,India
810028,2023-02-20,704,scale,5,10,5,1,00004,India
851927,2023-02-20,704,scale,5,10,5,1,00005,India
851927,2023-02-20,714,carbon paper,15,30,15,1,00005,India
851927,2023-02-20,701,gel pen,5,10,5,1,00005,India
851927,2023-02-20,707,marker,20,40,20,1,00005,India
851927,2023-02-20,708,sketchpen,15,40,25,1,00005,India
686908,2023-02-20,717,spiral bound book,50,100,50,1,00006,India
686908,2023-02-20,709,notebook,30,60,30,1,00006,India
686908,2023-02-20,716,printing paper,200,400,200,1,00006,India
686908,2023-02-20,703,eraser,1,3,2,1,00006,India
513871,2023-02-20,710,geometry box,100,150,50,1,00007,India
513871,2023-02-20,709,notebook,30,60,30,1,00007,India
513871,2023-02-20,716,printing paper,200,400,200,1,00007,India
513871,2023-02-20,715,folder,5,15,10,1,00007,India
513871,2023-02-20,713,ball pen,5,10,5,1,00007,India
106706,2023-02-20,708,sketchpen,15,40,25,1,00008,India
106706,2023-02-20,707,marker,20,40,20,1,00008,India
106706,2023-02-20,702,pencil,2,5,3,1,00008,India
106706,2023-02-20,703,eraser,1,3,2,1,00008,India
896917,2023-02-20,702,pencil,2,5,3,1,00009,India
896917,2023-02-20,715,folder,5,15,10,1,00009,India
896917,2023-02-20,709,notebook,30,60,30,1,00009,India
896917,2023-02-20,717,spiral bound book,50,100,50,1,00009,India
896917,2023-02-20,704,scale,5,10,5,1,00009,India
912957,2023-02-20,703,eraser,1,3,2,1,00010,India
135741,2023-02-20,713,ball pen,5,10,5,1,00011,India
135741,2023-02-20,710,geometry box,100,150,50,1,00011,India
751601,2023-02-20,707,marker,20,40,20,1,00012,India
751601,2023-02-20,714,carbon paper,15,30,15,1,00012,India
751601,2023-02-20,701,gel pen,5,10,5,1,00012,India
915786,2023-02-20,712,graph paper,20,40,20,1,00013,India
915786,2023-02-20,716,printing paper,200,400,200,1,00013,India
915786,2023-02-20,709,notebook,30,60,30,1,00013,India
814186,2023-02-20,717,spiral bound book,50,100,50,1,00014,India
814186,2023-02-20,707,marker,20,40,20,1,00014,India
241976,2023-02-20,712,graph paper,20,40,20,1,00015,India
241976,2023-02-20,708,sketchpen,15,40,25,1,00015,India
241976,2023-02-20,715,folder,5,15,10,1,00015,India
747575,2023-02-20,702,pencil,2,5,3,1,00016,India
455720,2023-02-20,713,ball pen,5,10,5,1,00017,India
455720,2023-02-20,709,notebook,30,60,30,1,00017,India
455720,2023-02-20,705,stencil,10,20,10,1,00017,India
455720,2023-02-20,706,sharpener,3,8,5,1,00017,India
952243,2023-02-20,711,TD kit,150,300,150,1,00018,India
952243,2023-02-20,714,carbon paper,15,30,15,1,00018,India
952243,2023-02-20,710,geometry box,100,150,50,1,00018,India
868867,2023-02-20,711,TD kit,150,300,150,1,00019,India
868867,2023-02-20,713,ball pen,5,10,5,1,00019,India
